Feature,Importance
casein,0.000303555129739212
iac,0.0003180249616625414
scc_log,0.0004288444332996158
parity_second_parity,0.0006123846577872868
DIM,0.00116713145185414
rennet,0.001374736882397236
lactose,0.0016209448119580885
protein,0.001780465647732065
c18_0,0.002520875310689691
ph,0.003280585393504408
parity_primiparous,0.003665812393258386
k20,0.005858001795184753
urea,0.007179746626161133
freezing,0.008213153728623763
a30,0.008677387539420565
ufa,0.017552393694577985
c18_1,0.017690179457939437
acetone,0.031702251434752894
sfa,0.03296829572534067
newly_fa,0.03945615553177098
mixed_fa,0.05346658795825339
preformed_fa,0.0595434030424956
fat,0.09198865438229802
