Feature,MDI
acetone,0.4604344617010292
k20,0.0753059324725908
freezing,0.052879690106313014
urea,0.04871610573771808
c18_0,0.045966101457616905
a30,0.035115993309751514
rennet,0.025699944560919778
DIM,0.025400393352669692
preformed_fa,0.024967373242924064
c18_1,0.02239028267859776
newly_fa,0.01875446586852073
mixed_fa,0.01735083471651496
casein,0.017221530664222016
scc_log,0.017187177234528974
lactose,0.016510961671743585
protein,0.01647220268238571
iac,0.016104114258752137
ufa,0.015243468889889422
ph,0.014965317752505014
sfa,0.013217351087350278
fat,0.013009983254641904
parity_primiparous,0.00500053500453971
parity_second_parity,0.002085778294274732
