idAnimale,measurement_date,fat,protein,casein,lactose,sfa,ufa,newly_fa,mixed_fa,preformed_fa,c18_0,c18_1,ph,freezing,rennet,k20,a30,iac,scc,bhba,urea,acetone,ec,calving_date,lactation,DIM,scc_log,fat_protein_ratio,casein_protein_ratio,ufa_sfa_ratio,lactation_stage,parity_group
-9223372036850576384,2022-04-23,3.45,2.93,2.29,4.89,2.259,1.028,0.769,1.148,1.075,0.286,0.889,6.56,-0.524,28.35,9.2,1.89,91,86,0.08,21.9,0.07,872.6,2021-11-05,3,169,1.93951925261862,1.17747440273038,0.781569965870307,0.455068614431164,mid,mature_multiparous
-9223372036850574336,2025-05-05,3.55,3.19,2.46,4.87,2.283,0.963,0.79,1.212,1.067,0.299,0.943,6.59,-0.541,16.31,3.74,28.31,106,364,0.04,28.6,0.06,881.6,2025-04-12,5,23,2.56229286445647,1.1128526645768,0.77115987460815,0.421813403416557,early,mature_multiparous
-9223372036850535424,2025-04-09,3.61,3.56,2.76,4.81,2.523,0.9,0.848,1.321,0.923,0.214,0.862,6.69,-0.527,25.33,7.02,6.62,94,2312,0.05,22.4,0.05,835.9,2024-11-22,3,138,3.36417563277062,1.01404494382022,0.775280898876404,0.356718192627824,mid,mature_multiparous
-9223372036850432000,2021-12-14,4.98,3.68,2.96,4.25,3.111,1.688,0.78,1.505,2.067,0.511,1.572,6.59,-0.519,26.99,6.59,7.7,93,368,0.2,14.5,0.25,937.2,2021-03-25,2,264,2.56702636615906,1.35326086956522,0.804347826086956,0.542590806814529,late,second_parity
-9223372036850381824,2023-11-10,4.56,3.75,2.98,4.52,3.001,1.31,0.956,1.596,1.427,0.345,1.2,6.55,-0.52,27.84,6.54,11.49,94,110,0.09,12.8,0.06,881.5,2023-03-25,6,230,2.04532297878666,1.216,0.794666666666667,0.436521159613462,late,mature_multiparous
-9223372036850380800,2025-01-20,3.69,3.17,2.52,4.78,2.314,1.062,0.759,1.137,1.278,0.274,1.034,6.57,-0.535,15.35,3.73,30.11,107,30,0.07,22.4,0.02,880.1,2024-11-18,8,63,1.49136169383427,1.16403785488959,0.794952681388013,0.458945548833189,mid,mature_multiparous
-9223372036850369536,2024-01-17,3.34,3.06,2.43,5.1,2.167,0.977,0.683,1.138,1.075,0.326,0.869,6.64,-0.54,22.9,6.88,19.02,99,38,0.08,25.1,0.07,863.4,2023-10-06,6,103,1.5910646070265,1.09150326797386,0.794117647058824,0.450853714813106,mid,mature_multiparous
-9223372036850350080,2025-04-03,3.26,3.24,2.5,4.6,2.135,0.941,0.742,1.072,0.966,0.236,0.839,6.65,-0.523,27.28,8.13,0.44,91,448,0.07,19.5,0.05,945.1,2024-10-09,7,176,2.65224634100332,1.00617283950617,0.771604938271605,0.440749414519906,mid,mature_multiparous
-9223372036850294784,2022-04-06,3.46,3.22,2.5,4.91,2.539,0.789,0.759,1.341,0.948,0.324,0.765,6.65,-0.532,21.93,5.74,18.41,100,18,0.12,24.4,0.15,854.2,2021-12-03,2,124,1.27875360095283,1.07453416149068,0.77639751552795,0.31075226467113,mid,second_parity
-9223372036850292736,2022-04-06,3.59,2.81,2.15,4.93,2.413,1.06,0.752,1.213,1.203,0.403,1.023,6.64,-0.536,19.02,6.14,20.01,102,7,0.13,35.3,0.17,883.1,2022-02-14,3,51,0.903089986991944,1.27758007117438,0.765124555160142,0.439287194363862,early,mature_multiparous
-9223372036850264064,2022-01-14,3.65,3.06,2.43,4.78,2.441,1.015,0.897,1.203,1.057,0.302,0.935,6.57,-0.52,22.5,5.57,23.09,101,55,0.06,20.2,0.04,875.4,2021-12-03,4,42,1.7481880270062,1.19281045751634,0.794117647058824,0.415813191315035,early,mature_multiparous
-9223372036850187264,2023-02-25,5.38,3.71,2.82,4.54,3.793,1.535,1.261,1.879,1.191,0.353,1.398,6.46,-0.543,16.4,3.79,15.53,102,0,0.04,29.5,0.06,898.3,2022-07-01,5,239,0,1.45013477088949,0.76010781671159,0.404692855259689,late,mature_multiparous
-9223372036850186240,2022-12-05,3.66,3.52,2.8,4.89,2.384,1.075,0.849,1.172,1.155,0.319,0.986,6.67,-0.525,22.89,4.9,20.63,100,93,0.05,10.1,0.05,819.6,2022-04-22,3,227,1.9731278535997,1.03977272727273,0.795454545454545,0.450922818791946,late,mature_multiparous
-9223372036850184192,2022-05-26,3.45,3.01,2.32,4.61,2.137,1.182,0.682,1.058,1.291,0.375,1.09,6.61,-0.526,19.56,4,25.55,103,131,0.13,17.9,0.13,962.2,2022-04-19,5,37,2.12057393120585,1.14617940199336,0.770764119601329,0.553111839026673,early,mature_multiparous
-9223372036850176000,2023-02-25,3.98,3.95,3.05,4.59,2.831,1.008,1.122,1.433,0.557,0.142,0.972,6.57,-0.521,16.88,1.92,21.74,104,212,0.12,18.8,0.15,821.3,2022-07-01,5,239,2.32837960343874,1.00759493670886,0.772151898734177,0.356057930060049,late,mature_multiparous
-9223372036850100224,2022-12-21,2.71,3.45,2.68,4.5,1.822,0.746,0.657,0.986,0.675,0.193,0.629,6.57,-0.515,28.78,7.59,5.94,92,96,0.05,25.7,0.06,951.9,2022-08-16,4,127,1.98677173426624,0.785507246376812,0.776811594202899,0.409440175631175,mid,mature_multiparous
-9223372036850093056,2022-05-20,3.63,2.9,2.22,4.93,2.448,1.024,0.801,1.248,1.151,0.377,0.946,6.67,-0.528,23,5.5,19.69,99,119,0.1,19.4,0.07,874.5,2022-04-15,4,35,2.07918124604762,1.25172413793103,0.76551724137931,0.418300653594771,early,mature_multiparous
-9223372036850071552,2021-12-14,5.77,4.55,3.76,4.42,4.084,1.441,1.404,2.191,1.516,0.451,1.311,6.51,-0.521,24.01,2.66,38.1,104,564,0.06,31.5,0.02,871.4,2021-03-05,1,284,2.75204844781944,1.26813186813187,0.826373626373626,0.352840352595495,late,primiparous
-9223372036850068480,2023-03-30,2.99,3.72,2.98,5.02,2.228,0.655,0.777,1.252,0.576,0.156,0.627,6.69,-0.533,18.6,2.79,35.16,107,266,0.07,15.7,0.16,816,2023-01-08,3,81,2.42651126136458,0.803763440860215,0.801075268817204,0.293985637342908,mid,mature_multiparous
-9.22337203685e+18,2023-09-27,4.23,3.47,2.77,4.71,2.896,1.12,0.997,1.521,1.24,0.272,1.09,6.64,-0.514,23.8,6.8,28.8,102,689,0.04,18.73,0,805.5,2023-03-06,4,205,2.83884909073726,1.21902017291066,0.798270893371758,0.386740331491713,late,mature_multiparous
-9.22337203685e+18,2023-08-29,3.83,3.29,2.6,4.72,2.617,1.019,0.855,1.305,1.265,0.3,1.003,6.6,-0.512,25.1,7.8,23.5,99,524,0.09,15.29,0.09,791.7,2023-02-27,5,183,2.72015930340596,1.16413373860182,0.790273556231003,0.389377149407719,mid,mature_multiparous
